name,price,sqft,high_rise,furnished,bath,bed,parking
"Residensi Premium 2, KL Gateway,","RM 4,800",1399 sqft,High-Rise,Fully furnished,3 bath,3 bed,1 parking
"mont kiara palma, mont kiara","RM 3,000",1200 sqft,High-Rise,Partially furnished,3 bath,3 bed,1 parking
"Residensi Premium 2, KL Gateway,","RM 5,000",1399 sqft,High-Rise,Fully furnished,3 bath,3 bed,1 parking
"Casa Idaman, Jalan Ipoh","RM 1,700",1007 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
"sri kinabalu, wangsa maju","RM 2,000",1900 sqft,High-Rise,Partially furnished,4 bath,4 bed,1 parking
"menara bukit ceylon, kl city centre","RM 3,600",1420 sqft,High-Rise,Fully furnished,4 bath,4 bed,1 parking
pertama residency,"RM 1,500",610 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
"verve suites, mont kiara","RM 2,500",468 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
"28 Boulevard, Pandan Perdana","RM 1,600",450 sqft,Landed,Fully furnished,1 bath,1 bed,1 parking
"Verve Suites, Mont Kiara","RM 2,900",462 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
"The Elements, Ampang Hilir","RM 1,800",650 sqft,High-Rise,Fully furnished,1 bath,1 bed,1 parking
"casa idaman, jalan ipoh","RM 1,500",1007 sqft,High-Rise,Partially furnished,3 bath,3 bed,2 parking
ROOM FOR RENT (TERRACE HOUSE),RM 275,250 sqft,Landed,Partially furnished,3 bath,5 bed,4 parking
Expressionz by Mykeyglobal,"RM 4,650",674 sqft,High-Rise,Fully furnished,1 bath,1 bed,0 parking
"Sri Wangsaria, Bangsar","RM 4,300",1499 sqft,Landed,Partially furnished,2 bath,3 bed,1 parking
"Casa Mutiara, Bukit Bintang","RM 1,350",355 sqft,High-Rise,Fully furnished,1 bath,1 bed,0 parking
"Casa Mutiara Studio, Bukit Bintang","RM 1,350",355 sqft,High-Rise,Fully furnished,1 bath,1 bed,0 parking
"Seasons Garden Residences, Wangsa Maju","RM 1,800",770 sqft,High-Rise,Partially furnished,2 bath,3 bed,0 parking
"windsor tower, sri hartamas","RM 1,800",500 sqft,High-Rise,Fully furnished,1 bath,1 bed,0 parking
"Lakeville Residence, Jalan Ipoh","RM 2,000",1071 sqft,High-Rise,Partially furnished,2 bath,3 bed,2 parking
"mayfair service apartment, sri hartamas","RM 1,300",420 sqft,High-Rise,Fully furnished,1 bath,1 bed,0 parking
"KL Palace Court, Kuchai Lama","RM 1,800",1328 sqft,Landed,Partially furnished,2 bath,3 bed,2 parking
