name,price,sqft,high_rise,furnished,bath,bed,parking
"Plaza Prima Setapak, Setapak","RM 1,400",1100 sqft,High-Rise,Partially furnished,2 bath,3 bed,2 parking
"Sri Intan 2, Jalan Ipoh","RM 1,300",1221 sqft,High-Rise,Partially furnished,1 bath,1 bed,1 parking
Bangsar South View Residence,"RM 2,800",651 sqft,High-Rise,Fully furnished,1 bath,2 bed,1 parking
"VIVO Suites @ 9 Seputeh, Old Klang Road","RM 1,300",505 sqft,High-Rise,Partially furnished,1 bath,1 bed,2 parking
"Faber Ria, Taman Desa","RM 1,900",1100 sqft,High-Rise,Fully furnished,2 bath,2 bed,1 parking
"La Villas Condominium, Setapak","RM 1,450",1300 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
Sri Emas Condominium Bukit Bintang,"RM 2,800",1350 sqft,High-Rise,Fully furnished,2 bath,3 bed,2 parking
PV13 Whole Unit Fully Furnish,"RM 2,400",1313 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
pv 16,"RM 2,500",1450 sqft,High-Rise,Fully furnished,3 bath,3 bed,2 parking
"royal regent, jalan kuching","RM 2,800",1200 sqft,High-Rise,Fully furnished,3 bath,3 bed,1 parking
"Seasons Garden Residences, Wangsa Maju","RM 1,800",770 sqft,High-Rise,Partially furnished,2 bath,3 bed,0 parking
"menara belfield, kampung atap","RM 1,900",1069 sqft,High-Rise,Fully furnished,3 bath,3 bed,1 parking
"Midfields, Sungai Besi","RM 2,000",1074 sqft,High-Rise,Partially furnished,2 bath,3 bed,2 parking
"Permai Ria, Jalan Ipoh","RM 1,100",800 sqft,High-Rise,Unfurnished,3 bath,1 bed,1 parking
"Tiffani Kiara, Mont Kiara","RM 5,000",1711 sqft,High-Rise,Fully furnished,3 bath,4 bed,2 parking
"Tiffani Kiara, Mont Kiara","RM 5,800",2257 sqft,High-Rise,Fully furnished,4 bath,3 bed,2 parking
"Anggun Puri, Dutamas","RM 1,500",900 sqft,High-Rise,Partially furnished,2 bath,3 bed,1 parking
"Anggun Puri, Dutamas","RM 1,800",1850 sqft,High-Rise,Unfurnished,3 bath,4 bed,4 parking
"DeSkye Residence, Jalan Ipoh","RM 1,500",1037 sqft,High-Rise,Partially furnished,2 bath,3 bed,2 parking
"Trinity Aquata, Sungai Besi","RM 1,800",1151 sqft,High-Rise,Partially furnished,2 bath,3 bed,2 parking
maxim citylights,"RM 2,000",1009 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
"Mercury Serviced Apartment @ Sentul Village, Sentul","RM 1,600",948 sqft,High-Rise,Fully furnished,2 bath,3 bed,1 parking
